193.56.252.243 - - [14/Mar/2025:08:00:59 +0000] "GET / HTTP/1.1" 426 16 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" "-"
156.146.63.144 - - [14/Mar/2025:08:00:59 +0000] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" "-"
146.70.28.53 - - [14/Mar/2025:08:01:06 +0000] "GET / HTTP/1.1" 426 16 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/84.0.4147.89 Safari/537.36" "-"
23.178.112.109 - - [14/Mar/2025:08:10:13 +0000] "GET /.well-known/acme-challenge/YYE3Mw92DkWpvlh03S_sU30mGzn0_jqtuH1aXpS7YC0 HTTP/1.1" 301 162 "-" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
23.178.112.109 - - [14/Mar/2025:08:10:14 +0000] "GET /.well-known/acme-challenge/YYE3Mw92DkWpvlh03S_sU30mGzn0_jqtuH1aXpS7YC0 HTTP/1.1" 426 16 "http://ait-ws-server.com/.well-known/acme-challenge/YYE3Mw92DkWpvlh03S_sU30mGzn0_jqtuH1aXpS7YC0" "Mozilla/5.0 (compatible; Let's Encrypt validation server; +https://www.letsencrypt.org)" "-"
171.236.57.70 - - [14/Mar/2025:08:11:41 +0000] "GET / HTTP/1.1" 101 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) ait-zawi/1.2.7 Chrome/106.0.5249.199 Electron/21.4.4 Safari/537.36" "-"
171.236.57.70 - - [14/Mar/2025:08:12:20 +0000] "GET / HTTP/1.1" 101 2 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) ait-zawi/1.2.7 Chrome/106.0.5249.199 Electron/21.4.4 Safari/537.36" "-"
171.236.57.70 - - [14/Mar/2025:08:12:21 +0000] "GET / HTTP/1.1" 101 30 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) ait-zawi/1.2.7 Chrome/106.0.5249.199 Electron/21.4.4 Safari/537.36" "-"
171.236.57.70 - - [14/Mar/2025:08:12:41 +0000] "GET / HTTP/1.1" 101 45 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) ait-zawi/1.2.7 Chrome/106.0.5249.199 Electron/21.4.4 Safari/537.36" "-"
171.236.57.70 - - [14/Mar/2025:08:12:42 +0000] "GET / HTTP/1.1" 101 30 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) ait-zawi/1.2.7 Chrome/106.0.5249.199 Electron/21.4.4 Safari/537.36" "-"
